Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
CFR,Common Stock,Cullen/Frost Bankers Inc,Cullen / Frost Bankers Inc. is the banking holding company for Frost Bank offering commercial and consumer banking services in Texas. The company is headquartered in San Antonio Texas.,39263,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,111 W HOUSTON ST SAN ANTONIO TX US,December,2021-09-30,8637843000,None,20.42,1.489,66.39,2.91,0.0221,6.64,21.17,0.321,0.367,0.0098,0.102,1341595000,1200225000,6.64,0.1,0.106,129.85,20.42,22.78,6.44,1.94,-,-,1.407,138.9,88.99,130.35,119.15,63715000,2021-12-15,2021-11-29
CFRX,Common Stock,ContraFect Corporation,ContraFect Corporation a clinical-stage biotechnology company focuses on the discovery and development of protein and antibody therapeutics for the treatment of drug-resistant and life-threatening infectious diseases in the United States. The company is headquartered in Yonkers New York.,1478069,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,28 WELLS AVENUE 3RD FLOOR YONKERS NY US,December,2021-09-30,99905000,-30248390,None,0,1.348,None,0,-0.658,0,0,0,-0.398,-0.624,0,-1606434,-0.658,0,0,13.58,-,-,-,2.13,-,-,0.757,7.63,2.42,3.178,3.79,39332700,2020-02-04,None
CFV,Common Stock,CF Acquisition Corp. V,CF Acquisition Corp. The company is headquartered in New York New York.,1828049,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,110 EAST 59TH STREET NEW YORK NY UNITED STATES,December,2021-09-30,313238000,None,None,None,0.004,None,None,None,0,0,0,0,-99999.99,0,0,0,0,0,None,-,-,-,1.271,-,-,None,10.59,9.06,9.87,9.84,25600000,None,None
CFVIU,Common Stock,CF Acquisition Corp. VI,CF Acquisition Corp. ,1830081,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,110 EAST 59TH STREET NEW YORK NY UNITED STATES,December,2021-09-30,371304000,None,None,None,0.131,None,None,-0.019,0,0,0,0,-99999.99,0,0,-0.019,0,0,None,-,-,-,-,-,-,None,16.68,9.71,11.34,10.3,0,None,None
CFVIW,Common Stock,CF Acquisition Corp. VI,CF Acquisition Corp. ,1830081,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,110 EAST 59TH STREET NEW YORK NY UNITED STATES,December,2021-09-30,371686000,None,None,None,None,None,None,None,0,0,0,0,-99999.99,0,0,0,0,0,None,-,-,-,-,-,-,None,4.95,0.65,0,0,0,None,None
CFX,Common Stock,Colfax Corporation,Colfax Corporation is a diversified technology company globally. The company is headquartered in Annapolis Junction Maryland.,1420800,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,420 NATIONAL BUSINESS PARKWAY 5TH FLOOR ANNAPOLIS JUNCTION MD US,December,2021-09-30,6934234000,579320000,62.75,0.729,29.63,None,0,0.714,24.84,0.0292,0.0879,0.0266,0.0318,3659152000,1294705000,0.714,0.656,0.198,55.63,62.75,17.51,1.895,1.533,2.362,17.16,2.151,54.67,36.73,48.06,46.54,154782000,None,None
CFXA,Common Stock,Colfax Corporation,Colfax Corporation is a diversified technology company globally. The company is headquartered in Annapolis Junction Maryland.,1420800,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,420 NATIONAL BUSINESS PARKWAY 5TH FLOOR ANNAPOLIS JUNCTION MD US,December,2021-09-30,4664792000,579320000,253.84,None,29.63,None,0.0559,0.714,24.84,0.0292,0.0879,0.0266,0.0318,3659152000,0,0.714,0.656,0.198,None,253.84,-,1.275,-,-,-,2.151,212.81,149.23,193.51,189.02,117199000,2022-01-15,None
CG,Common Stock,The Carlyle Group Inc,None,1527166,NASDAQ,USD,USA,FINANCE,INVESTMENT ADVICE,C/O THE CARLYLE GROUP 1001 PENNSYLVANIA AVENUE N.W. WASHINGTON DC US,December,2021-09-30,18186693000,4133700000,6.6,0.872,13.35,1,0.0196,7.73,23.4,0.343,0.492,0.146,0.788,8297700000,1200900000,7.73,0.78,0.585,68.31,6.6,13.66,2.192,4.054,1.645,8.6,1.411,60.62,30.51,55.51,48.23,356462000,2021-11-17,2021-11-08
CGA,Common Stock,China Green Agriculture Inc,China Green Agriculture Inc. is engaged in the research development production and sale of various types of fertilizers and agricultural products. The company is headquartered in Xi'an the People's Republic of China.,857949,NYSE,USD,China,LIFE SCIENCES,AGRICULTURAL CHEMICALS,3RD FLOOR BOROUGH A BLOCK A. NO.181 SOUTH TAIBAI ROAD XIAN SHAANXI PROVINCE CHINA,June,2021-09-30,78638000,4134500,None,0,20.37,0.1,0.0111,-14.08,30.7,-0.458,-0.417,-0.204,-0.497,226649000,39575500,-14.08,0,-0.113,11,-,-,0.347,0.518,0.322,0.188,1.201,17.73,3.65,10.57,10.42,8487600,2019-06-28,2014-10-29
CGABL,Common Stock,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,None,1527166,NASDAQ,USD,USA,FINANCE,INVESTMENT ADVICE,C/O THE CARLYLE GROUP 1001 PENNSYLVANIA AVENUE N.W. WASHINGTON DC US,December,2021-09-30,16143690000,None,None,None,None,None,None,None,0,0,0,0,68.68,0,0,0,0,0,None,-,-,-,-,-,-,None,26.35,24.2,25.31,25.57,0,2022-11-15,None
CGAU,Common Stock,Centerra Gold Inc,Centerra Gold Inc. a gold mining company is engaged in the acquisition exploration development and operation of gold and copper properties in North America Asia and internationally. The company is headquartered in Toronto Canada.,1854640,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-09-30,2408029000,928143000,None,None,6.01,0.178,0.0269,-1.914,6.17,-0.307,0.32,0.137,0.287,1828470000,1068934000,-1.914,-0.866,-0.122,8.57,-,7.33,1.317,1.167,0.654,1.259,0.887,11.4,6.6,7.66,7.84,296921000,2021-12-03,2021-11-18
CGBD,Common Stock,TCG BDC Inc,TCG BDC Inc. is a closed undiversified investment company. The company is headquartered in New York New York.,1544206,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-09-30,758248000,None,5.09,3.54,16.65,1.28,0.0904,2.783,3.112,0.964,0.693,0.0365,0.179,170780000,182118000,2.783,0.473,0.023,14.7,5.09,-,4.44,0.838,11.22,-,2.047,14.17,9.45,13.88,13.7,53549000,2022-01-14,2021-12-30
CGC,Common Stock,Canopy Growth Corporation,Canopy Growth Corporation is engaged in the production distribution and sale of cannabis and hemp-based products for recreational and medical purposes primarily in Canada the United States and Germany. The company is headquartered in Smiths Falls Canada.,1737927,NASDAQ,USD,USA,LIFE SCIENCES,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,1 HERSHEY DRIVE SMITH FALLS ON CA,March,2021-09-30,3354435000,None,None,None,10.78,None,0,-2.697,1.488,-2.151,-1.074,-0.0584,-0.227,568550000,92945000,-2.697,0,-0.029,12.66,-,-,5.9,1.123,6.24,-,1.925,56.5,7.96,10.98,18.45,393713000,None,None
CGEM,Common Stock,Cullinan Oncology Inc,Cullinan Management Inc. a biopharmaceutical company is focused on developing a line of targeted oncology and immuno-oncology therapies for cancer patients in the United States. The company is headquartered in Cambridge Massachusetts.,1789972,NASDAQ,USD,USA,LIFE SCIENCES,BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES),ONE MAIN STREET SUITE 520 CAMBRIDGE MA MA,December,2021-09-30,641725000,None,None,None,10.15,None,0,-2.249,0.694,0,-3.314,-0.142,-0.233,18943000,0,-2.249,0,0,51.75,-,-,33.88,1.657,21.84,-,None,59.85,14.41,18.36,25.82,43684500,None,None
CGEN,Common Stock,Compugen Ltd,Compugen Ltd. a clinical-stage therapeutic discovery and development company is engaged in the research development and commercialization of therapeutic candidates and products in Israel the United States and Europe. The company is headquartered in Holon Israel.,1119774,NASDAQ,USD,USA,LIFE SCIENCES,BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES),72 PINCHAS ROSEN ST TEL AVIV IL,December,2021-09-30,346581000,-27295000,None,0,1.177,None,0,-0.407,0.095,0,-4.423,-0.167,-0.302,8000000,1940000,-0.407,0,0,20.57,-,-,43.32,3.694,35.68,-,2.314,14.22,3.68,4.967,6.7,83918000,None,None
CGNT,Common Stock,Cognyte Software Ltd,Cognyte Software Ltd. provides security analysis software to governments and companies around the world. The company is headquartered in Herzliya Israel.,1824814,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,33 MASKIT HERZLIYA PITUACH IL,January,2021-10-31,958913000,25236000,511.07,None,4.348,None,None,0.028,7.14,0.004,0.0121,0.0042,0.0236,473105000,312032000,0.028,-0.748,0.048,25.4,511.07,34.36,2.027,4.76,2.773,32.79,None,38,14.3,19.15,23.37,67010000,None,None
CGNX,Common Stock,Cognex Corporation,Cognex Corporation offers machine vision products that capture and analyze visual information to automate manufacturing and distribution tasks globally. The company is headquartered in Natick Massachusetts.,851205,NASDAQ,USD,USA,LIFE SCIENCES,INDUSTRIAL INSTRUMENTS FOR MEASUREMENT DISPLAY AND CONTROL,ONE VISION DR NATICK MA US,December,2021-09-30,12637594000,340554000,43.35,2.04,8.44,0.24,0.0036,1.649,5.77,0.291,0.313,0.0969,0.197,1016648000,604599000,1.649,-0.102,0.135,90,43.35,42.92,12.43,9.03,12.9,37.74,1.629,101.51,70.62,79.14,82.33,176799000,2021-12-03,2021-11-18
CGRN,Common Stock,Capstone Green Energy Corporation,Capstone Green Energy Corporation develops manufactures markets and services microturbine technology solutions for use in stationary distributed power generation and distribution network applications worldwide. The company is headquartered in Van Nuys California.,1009759,NASDAQ,USD,USA,TECHNOLOGY,ENGINES & TURBINES,16640 STAGG STREET VAN NUYS CA US,March,2021-09-30,50101000,None,None,None,1.102,None,None,-1.585,5.55,-0.286,-0.254,-0.131,-1.602,71815000,7160000,-1.585,0,0.154,13,-,212.77,0.698,4.266,1.271,-,2.357,13.69,3.12,4.68,5.7,15228200,2019-10-22,None
CHAA,Common Stock,Catcha Investment Corp,Catcha Investment Corp is a blank check company. The company is headquartered in Kuala Lumpur Malaysia.,1838293,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,LEVEL 42 SUNTEC TOWER THREE 8 MID VALLEY CITY TEMASEK BLVD SG,December,2021-09-30,364500000,None,None,None,0.133,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,10.25,9.59,9.74,9.73,30000000,None,None
CHCI,Common Stock,Comstock Holding Companies Inc,Comstock Holding Companies Inc. develops operates and manages properties in the Washington DC metropolitan area. The company is headquartered in Reston Virginia.,1299969,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,OPERATIVE BUILDERS,1886 METRO CENTER DRIVE SUITE 410 RESTON VA US,December,2021-09-30,37444200,4966000,2.741,0,2.32,None,0,1.642,4.431,0.41,0.131,0.0969,0.863,36225000,6184000,1.642,5.21,0.725,7,2.741,-,1.034,2.095,1.401,9.9,1.046,8.38,3.1,4.733,5.33,8100700,None,None
CHCO,Common Stock,City Holding Company,City Holding Company is a holding company for City National Bank of West Virginia offering various banking trust and investment solutions and other financial solutions in the United States. The company is headquartered in Charleston West Virginia.,726854,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,25 GATEWATER ROAD P O BOX 7520 CHARLESTON WV US,December,2021-09-30,1300014000,None,15.55,1.88,44.58,2.32,0.0279,5.53,14.5,0.385,0.487,0.0152,0.127,225560000,226602000,5.53,0.177,0.078,82.5,15.55,15.95,5.76,1.797,-,-,0.597,86.51,67.01,81.18,78.62,15118200,2022-01-31,2022-01-13
CHCT,Common Stock,Community Healthcare Trust Incorporated,Community Healthcare Trust Incorporated is a real estate investment trust that focuses on owning income-generating real estate primarily associated with the provision of outpatient healthcare services in our target submarkets across the United States. ,1631569,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,3326 ASPEN GROVE DRIVE SUITE 150 FRANKLIN TN US,December,2021-09-30,1187168000,61882000,56.57,0,19.59,1.725,0.0366,0.84,3.806,0.247,0.362,0.029,0.0496,87461000,62070000,0.84,-0.073,0.202,54.38,56.57,64.94,13.57,2.408,15.68,22.16,0.556,51.11,41.47,45.83,47.74,24982500,2021-11-26,2021-11-10
CHD,Common Stock,Church & Dwight Co. Inc,Church & Dwight Co. Inc. is a major American manufacturer of household products that is headquartered in Ewing New Jersey.,313927,NYSE,USD,USA,LIFE SCIENCES,SOAP DETERGENTS CLEANG PREPARATIONS PERFUMES COSMETICS,500 CHARLES EWING BOULEVARD EWING NJ US,December,2021-09-30,25899999000,1164200000,31.6,4.367,14.34,0.998,0.0097,3.278,20.81,0.16,0.19,0.0841,0.244,5116700000,2214200000,3.278,0.082,0.057,92.58,31.6,29.5,5.06,6.81,4.989,19.4,0.443,104.39,76.95,94.72,87.7,250000000,2021-12-01,2021-11-12
CHDN,Common Stock,Churchill Downs Incorporated,Churchill Downs Incorporated is a gaming online betting and racing entertainment company in the United States. The company is headquartered in Louisville Kentucky.,20212,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-RACING INCLUDING TRACK OPERATION,600 N. HURSTBOURNE PKWY SUITE 400 LOUISVILLE KY US,December,2021-09-30,8832482000,380600000,41.43,2.58,8.97,0.622,0.0029,5.57,38.81,0.148,0.189,0.0573,0.625,1510600000,193500000,5.57,0.454,0.163,279.43,41.43,-,5.85,25.74,6.87,20.74,1.16,261.4,174.47,231.59,216.08,38249100,2022-01-07,2021-12-02
CHE,Common Stock,Chemed Corporation,Chemed Corporation provides hospice and hospice services to patients through a network of physicians registered nurses home health aides social workers clergy and volunteers across the United States. The company is headquartered in Cincinnati Ohio.,19584,NYSE,USD,USA,LIFE SCIENCES,SERVICES-HOME HEALTH CARE SERVICES,SUITE 2600 255 E FIFTH ST CINCINNATI OH US,December,2021-09-30,7638845000,396434000,26.04,2.591,50.87,1.38,0.0029,19.05,134.48,0.144,0.161,0.16,0.389,2131572000,701386000,19.05,0.099,0.02,587.25,26.04,25.91,3.584,10.15,3.765,17.4,0.483,558.34,402.71,500.62,477.77,15395000,2021-12-06,2021-11-12
CHEF,Common Stock,The Chefs' Warehouse Inc,The Chefs' Warehouse Inc. distributes specialty food products in the United States and Canada. The company is headquartered in Ridgefield Connecticut.,1517175,NASDAQ,USD,USA,TRADE & SERVICES,WHOLESALE-GROCERIES GENERAL LINE,100 EAST RIDGE ROAD RIDGEFIELD CT US,December,2021-09-30,1205096000,4075000,None,3.2,8.95,None,0,-1.379,40.15,-0.0343,-0.0168,-0.015,-0.141,1469180000,262751000,-1.379,0.065,0.907,39.5,-,-,0.82,3.523,1.081,58.29,2.28,37.85,24.92,33.03,31.44,37884200,None,None
CHEK,Common Stock,Check-Cap Ltd,Check-Cap Ltd. a clinical-stage medical diagnostics company is developing a capsule-based system that uses low-dose X-rays to scan the inner lining of the colon for precancerous polyps and other structural abnormalities in Israel. . The company is headquartered in Isfiya Israel.,1610590,NASDAQ,USD,USA,LIFE SCIENCES,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,ABBA HUSHI AVENUE P.O. BOX 1271 ISFIYA IL,December,2021-09-30,63531000,-12528000,None,0,0.58,None,0,-0.222,0,0,0,-0.234,-0.411,0,0,-0.222,0,0,2.5,-,-,-,1.361,-,0.233,0.374,4.49,0.581,0.813,1.151,96405000,2018-04-04,None
CHEKZ,Common Stock,Check-Cap Ltd - Warrants - Series C (03/05/2023),None,1610590,NASDAQ,USD,USA,LIFE SCIENCES,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,ABBA HUSHI AVENUE P.O. BOX 1271 ISFIYA IL,December,2021-09-30,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,0.45,0.1,0,0,0,None,None
CHGG,Common Stock,Chegg Inc,Chegg Inc. operates a direct-to-student learning platform that supports students on their journey from high school to college and their career with tools designed to help them learn course materials be successful in their classes and save money. money on required materials. . The company is headquartered in Santa Clara California.,1364954,NYSE,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,3990 FREEDOM CIRCLE SANTA CLARA CA US,December,2021-09-30,4283184000,178153000,14775.0,0.707,9.35,None,0,0.002,5.62,0.0004,0.135,0.0236,0.0003,774519000,438921000,0.002,1.524,0.116,51.5,14775.0,21.19,5.53,2.95,5.08,35.86,0.898,115.21,24.25,30.83,67.54,144947000,None,None
CHH,Common Stock,Choice Hotels International Inc,Choice Hotels International Inc. is a global hotel franchisor. The company is headquartered in Rockville Maryland.,1046311,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,1 CHOICE HOTELS CIRCLE SUITE 400 ROCKVILLE MD US,December,2021-09-30,8581933000,392629000,37.13,0.963,3.83,0.45,0.0062,4.155,17.68,0.238,0.364,0.13,243.03,978053000,311159000,4.155,6.99,0.534,140,37.13,27.4,8.77,38.51,9.02,22.53,1.442,157.22,99.59,147.89,126.84,55629000,2022-01-18,2022-01-03
CHK,Common Stock,Chesapeake Energy Corporation,Chesapeake Energy Corporation is engaged in the acquisition exploration and development of properties for the production of oil natural gas and natural gas liquids (NGL) from underground reservoirs in the United States. The company is headquartered in Oklahoma City Oklahoma.,895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,6100 N WESTERN AVE OKLAHOMA CITY OK US,December,2021-09-30,8115446000,317000000,None,3.232,30.91,0.688,0.0262,-33.88,97.41,0.694,-1.387,-0.787,0,6456000000,1835000000,-33.88,0,0.604,94.4,-,6.46,1.257,2.459,1.515,4.93,1.891,69.69,39.19,63.62,56.5,117106000,2021-12-09,2021-11-23
CHKEL,Common Stock,Chesapeake Energy Corporation,Chesapeake Energy Corporation is engaged in the acquisition exploration and development of properties for the production of oil natural gas and natural gas liquids (NGL) from underground reservoirs in the United States. The company is headquartered in Oklahoma City Oklahoma.,895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,6100 N WESTERN AVE OKLAHOMA CITY OK US,December,2021-09-30,5281215000,9907000000,None,None,None,None,None,None,529.58,-1.879,-0.0091,-0.0026,-99999.99,5179000000,0,0,0,-0.359,None,-,-,-,-,-,-,0.711,36.86,15,31.28,25.13,0,None,None
CHKEW,Common Stock,Chesapeake Energy Corporation,Chesapeake Energy Corporation is engaged in the acquisition exploration and development of properties for the production of oil natural gas and natural gas liquids (NGL) from underground reservoirs in the United States. The company is headquartered in Oklahoma City Oklahoma.,895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,6100 N WESTERN AVE OKLAHOMA CITY OK US,December,2021-09-30,5281215000,9907000000,None,None,None,None,None,None,529.58,-1.879,-0.0091,-0.0026,-99999.99,5179000000,0,0,0,-0.359,None,-,-,-,-,-,-,0.711,43.79,18,38.59,31.67,0,None,None
CHKEZ,Common Stock,Chesapeake Energy Corporation,Chesapeake Energy Corporation is engaged in the acquisition exploration and development of properties for the production of oil natural gas and natural gas liquids (NGL) from underground reservoirs in the United States. The company is headquartered in Oklahoma City Oklahoma.,895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,6100 N WESTERN AVE OKLAHOMA CITY OK US,December,2021-09-30,5281215000,9907000000,None,None,None,None,None,None,529.58,-1.879,-0.0091,-0.0026,-99999.99,5179000000,0,0,0,-0.359,None,-,-,-,-,-,-,0.711,39.55,17.21,34.45,28.18,0,None,None
CHKP,Common Stock,Check Point Software Technologies Ltd,Check Point Software Technologies Ltd. develops markets and supports a range of IT security products and services globally. The company is headquartered in Tel Aviv Israel.,1015922,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,5 HA' SOLELIM STREET TEL AVIV ISRAEL IL,December,2021-09-30,15869361000,934700000,19.48,2.328,24.89,None,0,6.14,15.89,0.388,0.428,0.102,0.249,2131500000,1845000000,6.14,-0.014,0.049,131.31,19.48,15.2,7.45,4.451,6.08,13.75,0.744,137.49,107.85,114.64,118.42,132798000,None,None
CHMG,Common Stock,Chemung Financial Corporation,Chemung Financial Corporation is the holding company of Chemung Canal Trust Company providing a range of banking finance trust and other financial services. The company is headquartered in Elmira New York.,763563,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,ONE CHEMUNG CANAL PLZ P O BOX 1522 ELMIRA NY US,December,2021-09-30,213382000,None,8.51,0,44.21,1.14,0.0271,5.37,18.97,0.283,0.38,0.011,0.125,88954000,79804000,5.37,0.192,0.093,51.33,8.51,9.62,2.399,1.013,-,-,0.0684,49.16,32.44,46.06,44.98,4664100,2022-01-03,2021-12-17
CHMI,Common Stock,Cherry Hill Mortgage Investment Corporation,Cherry Hill Mortgage Investment Corporation a residential real estate financing company acquires invests and manages residential mortgage assets in the United States. The company is headquartered in Farmingdale New Jersey.,1571776,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,1451 ROUTE 34 SUITE 303 FARMINGDALE NJ US,December,2021-09-30,150769000,None,30.84,-3.03,9.31,1.08,0.128,0.273,2.577,0.331,0.342,0.0098,0.0492,44061000,-57324000,0.273,2.204,-0.53,11.25,30.84,-,3.422,0.946,16.48,5.72,1.235,9.78,7.59,8.71,9.31,17906000,2022-01-25,2021-12-30
CHNG,Common Stock,Change Healthcare Inc,Change Healthcare Inc. an independent healthcare technology company provides analytics and data-driven solutions to improve clinical financial administrative and patient engagement outcomes in the United States healthcare system. The company is headquartered in Nashville Tennessee.,1756497,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,3055 LEBANON PIKE SUITE 1000 NASHVILLE TN US,March,2021-09-30,6572545000,704257000,None,1.673,10.42,None,0,-0.158,10.35,-0.0153,0.0415,0.0086,-0.0158,3334921000,1558814000,-0.158,-0.98,0.094,25.79,-,13.79,1.971,1.978,3.325,13.94,1.421,24.15,20.2,20.99,21.91,311495000,None,None
CHNR,Common Stock,China Natural Resources Inc,China Natural Resources Inc. is engaged in the exploration and extraction of metallic properties in the People's Republic of China. ,793628,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,RM 2205 22F WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD C SHEUNG WAN HONG KONG HK,December,2021-06-30,43405000,None,None,0,2.676,None,0,-0.018,0,0,0,-0.0825,-0.102,0,13000,-0.018,0,-1,None,-,-,4.692,2.023,4.331,1.178,0.841,3.65,0.56,0.927,1.298,40948100,None,None
CHPM,Common Stock,CHP Merger Corp,CHP Merger Corp. The company is headquartered in Summit New Jersey.,1785041,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,25 DEFOREST AVENUE SUITE 108 25 DEFOREST AVENUE SUITE 108 SUMMIT NJ UNITED STATES,December,2021-12-31,379125000,None,10.17,None,0.133,None,None,0.994,0,0,0,-0.0014,0.192,0,0,0.994,29.0,0,None,10.17,-,-,1.358,-,-,None,10.78,9.71,10.06,10.0,30000000,None,None
CHPMU,Common Stock,CHP Merger Corp,CHP Merger Corp. The company is headquartered in Summit New Jersey.,1785041,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,25 DEFOREST AVENUE SUITE 108 25 DEFOREST AVENUE SUITE 108 SUMMIT NJ UNITED STATES,December,2021-09-30,None,None,10.46,None,0.133,None,None,0.994,0,0,0,-0.0014,0.192,0,0,0.994,29.0,0,None,10.46,-,-,-,-,-,None,11.5,10.17,10.4,10.37,0,None,None
CHPMW,Common Stock,CHP Merger Corp,CHP Merger Corp. The company is headquartered in Summit New Jersey.,1785041,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,25 DEFOREST AVENUE SUITE 108 25 DEFOREST AVENUE SUITE 108 SUMMIT NJ UNITED STATES,December,2021-12-31,373125000,None,None,None,None,None,None,None,0,0,0,0,0.329,0,0,0,0,0,None,-,-,-,-,-,-,None,2.5,0.38,0,0,0,None,None
CHPT,Common Stock,ChargePoint Holdings Inc,ChargePoint Holdings Inc. provides electric vehicle (EV) charging networks and charging solutions in the United States. The company is headquartered in Campbell California.,1777393,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS TRANSPORTATION EQUIPMENT,5949 SHERRY LANE SUITE 1010 DALLAS TX US,December,2021-09-30,5591046000,None,None,None,1.769,None,None,-2.178,0.93,-0.798,-1.062,-0.226,-0.471,204057000,32949000,-2.178,0,0.788,31.53,-,-,27.4,18.91,56.35,-,1.856,46.3,16.86,22.53,23.79,331027000,None,None
CHRA,Common Stock,Charah Solutions Inc,Charah Solutions Inc. provides environmental services to the power generation industry in the United States. The company is headquartered in Louisville Kentucky.,1730346,NYSE,USD,USA,ENERGY & TRANSPORTATION,HAZARDOUS WASTE MANAGEMENT,12601 PLANTSIDE DRIVE LOUISVILLE KY US,December,2021-09-30,178064000,15692000,None,None,0.611,None,0,-1.627,8.64,-0.154,-0.0624,-0.0288,-0.774,265466000,22807000,-1.627,0,0.333,7.5,-,-,0.671,7.62,1.294,13.73,0.337,6.63,2.56,4.551,4.987,33407800,None,None
CHRS,Common Stock,Coherus BioSciences Inc,Coherus BioSciences Inc. a biopharmaceutical company focuses on the biosimilars and immuno-oncology market primarily in the United States. The company is headquartered in Redwood City California.,1512762,NASDAQ,USD,USA,LIFE SCIENCES,BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES),C/O DENNIS M. LANFEAR 333 TWIN DOLPHIN DR SUITE 600 REDWOOD CITY CA US,December,2021-09-30,1126442000,159207000,None,0,1.707,None,0,-3.118,4.894,-0.637,-0.549,-0.161,-1.199,363599000,295398000,-3.118,-0.755,-0.273,25.43,-,32.89,3.098,9.87,3.413,5.76,0.916,22.22,12.21,17.5,15.42,76785000,None,None
CHRW,Common Stock,C.H. Robinson Worldwide Inc,C.H. Robinson is an American Fortune 500 provider of multimodal transportation services and third-party logistics (3PL). The company offers freight transportation transportation management brokerage and warehousing. It offers truckload less than truckload air freight intermodal and ocean transportation.,1043277,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,14701 CHARLSON ROAD EDEN PRAIRIE MN US,December,2021-09-30,14094491000,1069696000,19.2,1.648,14.96,2.04,0.0203,5.65,157.96,0.036,0.0474,0.107,0.399,21149741000,1169390000,5.65,0.85,0.483,103.35,19.2,18.05,0.666,6.98,0.73,14.11,0.761,112.15,82.91,99.72,95.42,129987000,2022-01-03,2021-12-14
